surface,tourney_level,winner_id,winner_name,winner_hand,winner_ht,winner_ioc,winner_age,loser_id,loser_name,loser_hand,loser_ht,loser_ioc,loser_age,score,best_of,round,minutes,w_ace,w_df,w_svpt,w_1stIn,w_1stWon,w_2ndWon,w_SvGms,w_bpSaved,w_bpFaced,l_ace,l_df,l_svpt,l_1stIn,l_1stWon,l_2ndWon,l_SvGms,l_bpSaved,l_bpFaced,winner_rank,winner_rank_points,loser_rank,loser_rank_points
Hard,A,105173,Adrian Mannarino,L,180.0,FRA,35.2,200624,Sebastian Korda,R,196.0,USA,23.2,4-6 6-3 6-2,3,F,129.0,5.0,7.0,89.0,48.0,34.0,23.0,14.0,2.0,4.0,9.0,2.0,77.0,48.0,30.0,15.0,13.0,4.0,8.0,34.0,1286.0,28.0,1340.0
Hard,A,200624,Sebastian Korda,R,196.0,USA,23.2,209098,Hamad Medjedovic,R,188.0,SRB,20.1,6-7(8) 7-6(2) 7-6(3),3,SF,172.0,18.0,1.0,114.0,76.0,66.0,23.0,18.0,2.0,2.0,16.0,1.0,121.0,80.0,60.0,27.0,18.0,3.0,3.0,28.0,1340.0,120.0,503.0
Hard,A,105173,Adrian Mannarino,L,180.0,FRA,35.2,124116,Sebastian Ofner,R,191.0,AUT,27.3,6-4 6-2,3,SF,70.0,6.0,3.0,53.0,32.0,24.0,11.0,9.0,1.0,2.0,4.0,3.0,49.0,25.0,18.0,8.0,9.0,0.0,4.0,34.0,1286.0,58.0,885.0
Hard,A,200624,Sebastian Korda,R,196.0,USA,23.2,134868,Tallon Griekspoor,R,188.0,NED,27.2,6-4 4-6 6-3,3,QF,101.0,12.0,2.0,82.0,54.0,40.0,20.0,15.0,2.0,3.0,11.0,5.0,77.0,47.0,40.0,16.0,14.0,5.0,7.0,28.0,1340.0,24.0,1446.0
Hard,A,209098,Hamad Medjedovic,R,188.0,SRB,20.1,208103,Jiri Lehecka,R,185.0,CZE,21.8,6-3 6-4,3,QF,75.0,7.0,2.0,72.0,49.0,35.0,13.0,10.0,4.0,4.0,4.0,3.0,50.0,38.0,27.0,6.0,9.0,0.0,2.0,120.0,503.0,29.0,1338.0
Hard,A,124116,Sebastian Ofner,R,191.0,AUT,27.3,106233,Dominic Thiem,R,185.0,AUT,30.0,5-7 6-4 6-2,3,QF,146.0,4.0,2.0,82.0,53.0,45.0,16.0,15.0,2.0,3.0,5.0,2.0,108.0,71.0,48.0,18.0,15.0,12.0,15.0,58.0,885.0,81.0,731.0
Hard,A,105173,Adrian Mannarino,L,180.0,FRA,35.2,200514,Jurij Rodionov,L,191.0,AUT,24.3,6-1 7-6(6),3,QF,104.0,3.0,5.0,71.0,38.0,28.0,17.0,10.0,8.0,10.0,3.0,1.0,61.0,35.0,22.0,11.0,9.0,0.0,4.0,34.0,1286.0,107.0,572.0
Hard,A,134868,Tallon Griekspoor,R,188.0,NED,27.2,200647,Sho Shimabukuro,R,180.0,JPN,26.1,7-6(5) 6-7(4) 6-1,3,R16,133.0,17.0,2.0,89.0,58.0,50.0,17.0,15.0,2.0,2.0,5.0,9.0,107.0,57.0,43.0,24.0,16.0,3.0,6.0,24.0,1446.0,148.0,416.0
Hard,A,200624,Sebastian Korda,R,196.0,USA,23.2,132686,Nuno Borges,R,185.0,POR,26.5,6-4 7-6(4),3,R16,84.0,12.0,2.0,62.0,37.0,30.0,18.0,11.0,2.0,3.0,3.0,0.0,65.0,43.0,29.0,14.0,11.0,1.0,3.0,28.0,1340.0,86.0,694.0
Hard,A,208103,Jiri Lehecka,R,185.0,CZE,21.8,106078,Egor Gerasimov,R,196.0,BLR,30.8,6-2 7-6(3),3,R16,86.0,4.0,1.0,64.0,45.0,36.0,12.0,10.0,5.0,6.0,2.0,0.0,62.0,38.0,26.0,12.0,10.0,0.0,3.0,29.0,1338.0,661.0,46.0
